listing_date;title;company;location;work_type;link
16-Oct-24 03:16;IT Engagement & Compliance Assistant Manager;MR. DIY Indonesia;Jakarta;fullTime;https://dealls.com/loker/it-engagement-and-compliance-assistant~mr-diy-indonesia
16-May-24 09:51;Assistant Manager;ROYAL TRUST;Jakarta Selatan;fullTime;https://dealls.com/loker/assistant-manager-1~royal-trust
08-Oct-24 04:53;Assistant Manager Quality Control & Compliance;PT LAPI Laboratories;Serang;fullTime;https://dealls.com/loker/assistant-manager-quality-control-and-1~pt-lapi-laboratories
21-May-24 03:07;Mandarin Assistant to QC Manager - Semarang;PT Gree Electric Appliances Indonesia;Jakarta Utara;fullTime;https://dealls.com/loker/assistant-to-qc-manager-semarang~pt-gree-electric-appliances-indonesia
03-Jul-24 04:50;Assistant Manager;Segari;Tangerang;contract;https://dealls.com/loker/assistant-manager-2~segari
12-Aug-24 07:28;Legal Compliance Assistant Manager; AEON INDONESIA PT;Tangerang Selatan;fullTime;https://dealls.com/loker/legal-compliance-assistant-manager~aeon-indonesia-pt
18-Jan-24 11:43;Facility Assistant Manager; AEON INDONESIA PT;Tangerang Selatan;fullTime;https://dealls.com/loker/facility-assistant-manager~aeon-indonesia-pt
13-Sep-24 10:07;Assistant Paid Marketing Manager - Freelance;Vidio;Jakarta;freelance;https://dealls.com/loker/assistant-paid-marketing-manager-freelance~vidio
03-Oct-24 03:36;Learning & Culture Assistant Manager;PT United Family Food;Jakarta Barat;fullTime;https://dealls.com/loker/learning-and-culture-assistant-manager~pt-united-family-food
31-Jul-24 04:20;Assistant Brand Manager;PT United Family Food;Jakarta Barat;fullTime;https://dealls.com/loker/assistant-brand-manager-5~pt-united-family-food
14-Mar-24 02:06;Assistant Product Manager ( Air conditioner product specialist);PT Gree Electric Appliances Indonesia;Jakarta;fullTime;https://dealls.com/loker/assistant-to-product-manager~pt-gree-electric-appliances-indonesia
10-Sep-24 04:31;HR Assistant Manager;MR. DIY Indonesia;Jakarta;fullTime;https://dealls.com/loker/hr-assistant-manager~mr-diy-indonesia
23-Sep-24 01:40;Learning and Development Assistant Manager (Place in Marunda);MR. DIY Indonesia;Bekasi Regency;fullTime;https://dealls.com/loker/learning-and-development-assistant-manager-3~mr-diy-indonesia
04-Oct-24 10:09;Internal Audit Assistant Manager; AEON INDONESIA PT;Tangerang Selatan;fullTime;https://dealls.com/loker/internal-audit-assistant-manager~aeon-indonesia-pt
14-Jun-24 08:44;Consolidation & Reporting Assistant Manager;MR. DIY Indonesia;Jakarta Selatan;fullTime;https://dealls.com/loker/consolidation-and-reporting-assistant-manager~mr-diy-indonesia
06-Jul-22 09:19;Data Research & Development Assistant Manager;Mandiri AXA General Insurance;Jakarta;fullTime;https://dealls.com/loker/data-research-and-development-assistant~mandiri-axa-general-insurance
15-Jul-22 02:25;Case Management Assistant Manager;Mandiri AXA General Insurance;Jakarta;fullTime;https://dealls.com/loker/case-management-assistant-manager~mandiri-axa-general-insurance
05-Jun-24 05:02;O2O (Online to Offline) Assistant Manager;Torch.id;Bandung;fullTime;https://dealls.com/loker/o2o-online-to-offline-assistant~torchid
