listing_date;title;company;location;work_type;link
11-Aug-23 04:29;JUNIOR BUSINESS IMPROVEMENT ANALYST;PT Fastrata Buana (Kapal Api Group);Jakarta;fullTime;https://dealls.com/loker/junior-business-improvement-analyst~pt-fastrata-buana-kapal-api-group
29-May-24 12:16;Retail Business Analyst Manager;MR. DIY Indonesia;Jakarta Selatan;fullTime;https://dealls.com/loker/retail-business-analyst-manager~mr-diy-indonesia
05-Aug-24 03:24;IT Business Process Analyst;PT TOYOTA ASTRA FINANCIAL SERVICES;Jakarta;fullTime;https://dealls.com/loker/it-business-process-analyst~pt-toyota-astra-financial-services
24-Sep-24 02:02;Business Analyst Staff;PT Anugrah Inti Makmur Indonesia;Tangerang;fullTime;https://dealls.com/loker/business-analyst-staff~pt-anugrah-inti-makmur-indonesia
22-Sep-23 08:36;IT Business Analyst;PT. Mandiri International Technology;Jakarta Selatan;contract;https://dealls.com/loker/it-business-analyst-4~pt-mandiri-international-technology
22-Jul-22 09:41;Senior IT Business Analyst;Puninar Logistics;Jakarta Timur;fullTime;https://dealls.com/loker/senior-it-business-analyst~puninar-logistics
19-Aug-24 06:38;Business Analyst;F&B Indonesia;Jakarta Barat;fullTime;https://dealls.com/loker/business-analyst-35~fandb-indonesia
11-Jul-24 01:48;Business Analyst;PT Metrodata Electronics Tbk.;Jakarta Barat;contract;https://dealls.com/loker/business-analyst-33~pt-metrodata-electronics-tbk
02-Apr-24 07:50;Business Analyst;Sprout Digital Labs;Tangerang;fullTime;https://dealls.com/loker/business-analyst-30~pt-tunas-digital-labs
09-Aug-23 04:38;Business Analyst;PT Midas Daya Teknologi;Jakarta;fullTime;https://dealls.com/loker/business-analyst-16~pt-midas-daya-teknologi
29-Jul-24 03:54;Business Analyst;PT. Amalura Multi Dimensi;Jakarta Timur;contract;https://dealls.com/loker/business-analyst-34~pt-amalura-multi-dimensi
01-Oct-24 09:45;Information Technology Business Analyst;Mitramas Infosys Global;Jakarta Selatan;contract;https://dealls.com/loker/information-technology-business-analyst-3~mitramas-infosys-global
13-Jun-24 04:58;IT Business Analyst;Triputra Visi Energi (TRIVE);Jakarta Pusat;fullTime;https://dealls.com/loker/it-business-analyst-10~better-tomorrow-at-trive
