listing_date;title;company;location;work_type;link
04-Oct-24 09:44;Data Analyst;Sibernetik Integra Data;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79300120
30-Sep-24 02:39;Data Analyst (Business Intelligence) Officer;PT Kokoh Inti Arebama Tbk (Group of SCG Indonesia);South Jakarta;Full time;https://www.jobstreet.co.id/job/79167126
05-Oct-24 06:09;Data Analyst;PT Falmaco Nonwoven Industri;Boyolali;Full time;https://www.jobstreet.co.id/job/79313087
02-Oct-24 04:02;Data Analyst - Telematics (A-109700);RGF HR Agent Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79225199
04-Oct-24 03:52;e-Channel;PT Bank of India Indonesia Tbk.;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79283679
03-Oct-24 11:34;Data Analytics Operation;PT. BFI FINANCE INDONESIA, Tbk;South Tangerang;Full time;https://www.jobstreet.co.id/job/79267378
02-Oct-24 03:30;Data Analyst - Pricing;PT Trinusa Travelindo;Jakarta;Full time;https://www.jobstreet.co.id/job/79235909
02-Oct-24 07:00;DATA ANALYST – HR SYSTEM;PT Amman Mineral Nusa Tenggara;West Sumbawa;Full time;https://www.jobstreet.co.id/job/79232310
04-Oct-24 03:56;MIS & Data Management Executive;Lembaga Pembiayaan Ekspor Indonesia (Indonesia Eximbank);South Jakarta;Full time;https://www.jobstreet.co.id/job/79284290
03-Oct-24 06:45;Data Engineer (Talend Hadoop);PT Lentera Bangsa Benderang;North Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79259871
03-Oct-24 07:53;ETL Pentaho Developer;PT. BUSINESS ECLOUD INDONESIA INFORMATION TECHNOLOGY;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79261608
03-Oct-24 03:21;System Analyst - IT Solution & Services - WFO - Jakarta;PT. PERSOLKELLY Recruitment Indonesia;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79252296
30-Sep-24 10:59;Antifraud Jr. Analyst;PT Home Credit Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79183631
03-Oct-24 12:16;Project Manager (Payment Tech);EURONET TECHNOLOGIES INDONESIA;Jakarta;Full time;https://www.jobstreet.co.id/job/79267766
03-Oct-24 02:58;Business Analyst Manager;PT Tigaraksa Satria, Tbk;South Jakarta;Full time;https://www.jobstreet.co.id/job/79251433
03-Oct-24 04:13;DATA  ANALIS;PT Nusapro Telemedia Persada;South Jakarta;Full time;https://www.jobstreet.co.id/job/79254404
01-Oct-24 03:45;Senior Data Analyst;Yayasan Bina Nusantara;West Jakarta;Full time;https://www.jobstreet.co.id/job/79198351
02-Oct-24 03:26;Treasury Analyst Manager;Dexa Group;South Tangerang;Full time;https://www.jobstreet.co.id/job/79223863
05-Oct-24 16:22;Build Delivery Engineer - Data Center;PT Oracle Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79316754
03-Oct-24 06:33;Telesales Data Support Staff;PT Bussan Auto Finance (BAF);South Jakarta;Full time;https://www.jobstreet.co.id/job/79259170
01-Oct-24 02:31;Business Analyst;PT GLOBAL LOYALTY INDONESIA;Tangerang;Full time;https://www.jobstreet.co.id/job/79194864
04-Oct-24 04:00;Product Operations Analyst;PT Trinusa Travelindo;Jakarta;Full time;https://www.jobstreet.co.id/job/79303863
01-Oct-24 07:26;Head of Sales (Cloud);POINTSTAR (PSID);Jakarta;Full time;https://www.jobstreet.co.id/job/79205608
02-Oct-24 04:43;Power Builder Developer;PT. KOBUS SMART SERVICE;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79226631
02-Oct-24 08:29;IT Developer;PT Ameliore Solusi Analitika;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79234472
04-Oct-24 08:11;ETL Engineer (SaaS) - IT Consulting (A-111820);RGF HR Agent Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79297991
30-Sep-24 05:10;Account Executive;PT JELAJAH DATA SEMESTA;Jakarta;Full time;https://www.jobstreet.co.id/job/79172448
04-Oct-24 04:47;Junior Business Analyst;PT Perangkat Lunak Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79290310
04-Oct-24 10:31;Collection Analyst/Manager;Geekhunter;Jakarta;Full time;https://www.jobstreet.co.id/job/79302721
04-Oct-24 09:57;Financial Planning & Analysis Sr. Manager;PT Richeese Kuliner Indonesia;Bandung;Full time;https://www.jobstreet.co.id/job/79301744
04-Oct-24 03:23;ERP Senior Staff;Indonesia Equipment Centre;North Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79280912
04-Oct-24 07:57;SYSTEM ANALYST;PT Kinarya Alihdaya Mandiri;West Jakarta;Full time;https://www.jobstreet.co.id/job/79297655
04-Oct-24 08:55;Digital Strategic Specialist;PT CIMB Niaga Auto Finance;South Tangerang;Full time;https://www.jobstreet.co.id/job/79299135
04-Oct-24 10:36;Internship Business Development Officer;Lacak.io;Bekasi;Full time;https://www.jobstreet.co.id/job/79302756
04-Oct-24 09:11;IT System Requirement Analyst (JS - IT SRA);OTO Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79299904
04-Oct-24 10:38;ERP Account Manager;Wilmar Group;Jakarta;Full time;https://www.jobstreet.co.id/job/79302803
04-Oct-24 07:14;Technical Consultant Analyst;PT. Metrodata Electronics, Tbk;West Jakarta;Full time;https://www.jobstreet.co.id/job/79301146
03-Oct-24 10:20;Staff  Data Analyst;PT Lavalen Inter Nasional;South Jakarta;Full time;https://www.jobstreet.co.id/job/79266803
03-Oct-24 08:20;AI Developer;PT Datacomm Diangraha;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79262329
03-Oct-24 08:48;Oracle EBS Consultant (Technical);Hand International Pte. Ltd.;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79262959
03-Oct-24 04:06;Business Process Improvement Analyst;PT. Rupa Aestetika Teknologi Aktual (RATA);Jakarta;Full time;https://www.jobstreet.co.id/job/79254129
03-Oct-24 09:40;Business Analyst (Contract Base);PT ZURICH ASURANSI INDONESIA, Tbk;Jakarta;Full time;https://www.jobstreet.co.id/job/79265607
04-Oct-24 22:43;Manager - IRAU Credit Risk Senior Analyst - Hybrid;Citibank;Jakarta;Full time;https://www.jobstreet.co.id/job/79310532
03-Oct-24 06:36;Full-Stack Web Developer (Mid-Senior level);Busana Apparel Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79259258
03-Oct-24 05:20;ERP Consultant;PT Talentvis Consulting Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79256158
03-Oct-24 12:55;Oracle Database Administrator;PT Bumi Amartha Teknologi Mandiri;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79268535
03-Oct-24 04:40;Technical Writer;Steradian Data Optima;Jakarta;Full time;https://www.jobstreet.co.id/job/79255186
02-Oct-24 04:05;Data Scientist - Telematics (A-109705);RGF HR Agent Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79225306
04-Oct-24 02:35;Sr. Associate, Specialist, Digital Channel Management;PT Bank DBS Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79301318
02-Oct-24 11:15;Business Analyst Asistant Manager;PT Inovasi Karya International;West Jakarta;Full time;https://www.jobstreet.co.id/job/79238066
02-Oct-24 09:19;IT - Business Application Support & Development Officer;PT Garudafood Putra Putri Jaya;South Jakarta;Full time;https://www.jobstreet.co.id/job/79235720
02-Oct-24 12:00;SR&T Consultant, M&A Transaction Diligence, Execution & Reporting;Deloitte;Jakarta;Full time;https://www.jobstreet.co.id/job/79242751
02-Oct-24 10:20;Risk Analytics;PT CIMB Niaga Auto Finance;South Tangerang;Full time;https://www.jobstreet.co.id/job/79237536
02-Oct-24 12:10;Credit Analyst & Central Data;PT. Fidac Inovasi Technology;Jakarta;Full time;https://www.jobstreet.co.id/job/79238495
02-Oct-24 12:00;Functional Consultant Analyst;PT. Metrodata Electronics, Tbk;West Jakarta;Full time;https://www.jobstreet.co.id/job/79265164
02-Oct-24 03:43;Corporate Resilience Management & Technical Development, Intern;ASIA PULP AND PAPER;South Tangerang;Contract/Temp;https://www.jobstreet.co.id/job/79224580
03-Oct-24 02:38;IT Project Manager;Trans Retail Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79250725
02-Oct-24 06:43;Driver Swadaya Lead (Analytics & Growth);PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia);Jakarta;Full time;https://www.jobstreet.co.id/job/79235915
01-Oct-24 02:55;Business Analyst (Banking Core);PT Karya Solusi Prima Sejahtera;South Tangerang;Full time;https://www.jobstreet.co.id/job/79195531
01-Oct-24 08:44;Digital Devops Analyst;PT Tripatra Engineers & Constructors;South Tangerang;Contract/Temp;https://www.jobstreet.co.id/job/79207189
