listing_date;title;company;location;work_type;link
17-Oct-24 11:10;Digital Security Engineer;PT. Itrust Data Teknologi;Tangerang;Full time;https://www.jobstreet.co.id/job/79575191
18-Oct-24 03:25;Security Engineer (DLP);PT. Lintas Teknologi Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79594104
22-Oct-24 09:42;Cyber Security Engineer - IT Consulting (A-112375);RGF HR Agent Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79680682
17-Oct-24 04:01;Senior Security Engineer (SME-DLP);PT. Lintas Teknologi Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79568088
18-Oct-24 03:06;Onsite Engineer (DLP);PT. Lintas Teknologi Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79593353
23-Oct-24 09:06;IT Security (Red Team);Soedarpo Informatika;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79706731
23-Oct-24 03:30;Solution Architech (Network Security);PT Digital Aplikasi Solusi;South Jakarta;Full time;https://www.jobstreet.co.id/job/79696573
23-Oct-24 04:45;Computer Vision Engineer;PT LANGGENG SUKSES ABADI TEKHNOLOGI;North Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79699093
21-Oct-24 02:33;Software & Information Security Officer;PT Mega Niaga Sejahtera;Bogor;Full time;https://www.jobstreet.co.id/job/79629776
22-Oct-24 10:27;Senior Solution Consultant;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79681292
22-Oct-24 07:30;Presales Engineer;PT Nusantara Compnet Integrator;West Jakarta;Full time;https://www.jobstreet.co.id/job/79676998
17-Oct-24 09:04;Security Operations Associate Analyst;PT Bank Sinarmas, Tbk;Jakarta;Full time;https://www.jobstreet.co.id/job/79576685
17-Oct-24 03:53;Product / Technical Presales;PT Malifax Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79567810
22-Oct-24 17:24;Engineer CCTV & Access Door;PT Xpert Teknologi Inovasi;South Jakarta;Full time;https://www.jobstreet.co.id/job/79686280
21-Oct-24 03:46;Network Engineer Consultant - WFO Jakarta (Contract-based);PT. PERSOLKELLY Recruitment Indonesia;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79632572
