listing_date;title;company;location;work_type;link
23-Oct-24 01:37;Data Analyst;UENA Food;Jakarta Barat;fullTime;https://dealls.com/loker/data-analyst-64~uena-food
14-May-24 09:38;Marketing Data Analyst Specialist;PT. Richeese Kuliner Indonesia;Bandung;fullTime;https://dealls.com/loker/marketing-data-analyst-specialist~pt-richeese-kuliner-indonesia
11-Aug-23 04:55;DATA ANALYST SUPERVISOR- BIG DATA (E-COMMERCE);PT Fastrata Buana (Kapal Api Group);Jakarta Timur;fullTime;https://dealls.com/loker/data-analyst-supervisor-big-data~pt-fastrata-buana-kapal-api-group
17-Oct-23 07:01;Data Analyst;PT.Enseval Putera Megatrading Tbk;Bekasi;fullTime;https://dealls.com/loker/data-analyst-20~ptenseval-putera-megatrading-tbk
02-Sep-24 10:05;Data Analyst Marketing;PT Astra Otoparts Tbk;Jakarta Utara;fullTime;https://dealls.com/loker/trade-marketing-supervisor-2~pt-astra-otoparts-tbk
14-Oct-24 04:27;Data Analyst (Spare Part Management);Sinar Mas Agribusiness and Food;Jakarta;fullTime;https://dealls.com/loker/data-analyst-spare-part-management~pt-smart-tbk
06-May-24 01:26;Growth Data Analyst;Astra Financial;Jakarta;fullTime;https://dealls.com/loker/growth-data-analyst~astra-financial
16-Feb-24 10:30;Data Analyst;Akulaku Indonesia;Jakarta Pusat;fullTime;https://dealls.com/loker/data-analyst-27~akulaku-indonesia
13-May-24 08:37;Data Analyst;JALA;Yogyakarta;fullTime;https://dealls.com/loker/data-analyst-32~jala
10-Nov-23 08:37;Finance & Data Analyst Supervisor;PT SANTOS JAYA ABADI (Kapal Api Group);Jakarta Pusat;fullTime;https://dealls.com/loker/data-analyst-and-administration-supervisor~pt-santos-jaya-abadi-kapal-api-global
27-Sep-24 04:29;Data Analyst;PT. Aura Harmoni Estetika;Bandung;fullTime;https://dealls.com/loker/data-analyst-61~auraharmoniestetika
06-Oct-23 03:57;Senior Data Analyst;JULO;Jakarta Selatan;fullTime;https://dealls.com/loker/senior-data-analyst-3~julo
16-Oct-24 04:54;data analyst;RS IZZA;Karawang Regency;fullTime;https://dealls.com/loker/data-analyst-63~rs-izza
30-Sep-23 06:36;Data Analyst;Torch.id;Bandung;fullTime;https://dealls.com/loker/data-analyst-19~torchid
