listing_date;title;company;location;work_type;link
04-Oct-24 09:44;Data Analyst;Sibernetik Integra Data;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79300120
05-Oct-24 06:09;Data Analyst;PT Falmaco Nonwoven Industri;Boyolali;Full time;https://www.jobstreet.co.id/job/79313087
03-Oct-24 10:20;Staff  Data Analyst;PT Lavalen Inter Nasional;South Jakarta;Full time;https://www.jobstreet.co.id/job/79266803
03-Oct-24 04:13;DATA  ANALIS;PT Nusapro Telemedia Persada;South Jakarta;Full time;https://www.jobstreet.co.id/job/79254404
04-Oct-24 04:47;Junior Business Analyst;PT Perangkat Lunak Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79290310
02-Oct-24 07:00;DATA ANALYST – HR SYSTEM;PT Amman Mineral Nusa Tenggara;West Sumbawa;Full time;https://www.jobstreet.co.id/job/79232310
02-Oct-24 03:30;Data Analyst - Pricing;PT Trinusa Travelindo;Jakarta;Full time;https://www.jobstreet.co.id/job/79235909
02-Oct-24 04:02;Data Analyst - Telematics (A-109700);RGF HR Agent Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79225199
02-Oct-24 10:31;Finance Analyst;PT Duta Agro Makmur Indah;North Jakarta;Full time;https://www.jobstreet.co.id/job/79237681
03-Oct-24 03:21;System Analyst - IT Solution & Services - WFO - Jakarta;PT. PERSOLKELLY Recruitment Indonesia;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79252296
03-Oct-24 06:33;Telesales Data Support Staff;PT Bussan Auto Finance (BAF);South Jakarta;Full time;https://www.jobstreet.co.id/job/79259170
01-Oct-24 09:13;Credit Analyst;PT Sejahtera Sama Kita;South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79208159
02-Oct-24 12:10;Credit Analyst & Central Data;PT. Fidac Inovasi Technology;Jakarta;Full time;https://www.jobstreet.co.id/job/79238495
30-Sep-24 02:39;Data Analyst (Business Intelligence) Officer;PT Kokoh Inti Arebama Tbk (Group of SCG Indonesia);South Jakarta;Full time;https://www.jobstreet.co.id/job/79167126
04-Oct-24 03:56;MIS & Data Management Executive;Lembaga Pembiayaan Ekspor Indonesia (Indonesia Eximbank);South Jakarta;Full time;https://www.jobstreet.co.id/job/79284290
04-Oct-24 07:57;SYSTEM ANALYST;PT Kinarya Alihdaya Mandiri;West Jakarta;Full time;https://www.jobstreet.co.id/job/79297655
30-Sep-24 03:20;CREDIT ANALYST (Semarang);PT MIZUHO LEASING INDONESIA TBK;Semarang;Full time;https://www.jobstreet.co.id/job/79168700
04-Oct-24 04:00;Product Operations Analyst;PT Trinusa Travelindo;Jakarta;Full time;https://www.jobstreet.co.id/job/79303863
03-Oct-24 11:34;Data Analytics Operation;PT. BFI FINANCE INDONESIA, Tbk;South Tangerang;Full time;https://www.jobstreet.co.id/job/79267378
04-Oct-24 09:11;IT System Requirement Analyst (JS - IT SRA);OTO Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79299904
03-Oct-24 09:40;Business Analyst (Contract Base);PT ZURICH ASURANSI INDONESIA, Tbk;Jakarta;Full time;https://www.jobstreet.co.id/job/79265607
04-Oct-24 03:52;e-Channel;PT Bank of India Indonesia Tbk.;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79283679
03-Oct-24 04:06;Business Process Improvement Analyst;PT. Rupa Aestetika Teknologi Aktual (RATA);Jakarta;Full time;https://www.jobstreet.co.id/job/79254129
