listing_date;title;company;location;work_type;link
03-May-24 08:20;Data Engineer;Astra Financial;Jakarta;fullTime;https://dealls.com/loker/data-engineer-26~astra-financial
05-Feb-24 03:37;IT Data Engineer;PT TOYOTA ASTRA FINANCIAL SERVICES;Jakarta;fullTime;https://dealls.com/loker/it-data-engineer-1~pt-toyota-astra-financial-services
28-Aug-24 09:53;Data Engineer;PT Multipolar Technology;Tangerang;fullTime;https://dealls.com/loker/data-engineer-36~pt-multipolar-technology
05-Aug-24 06:25;Data Engineer Intern;PT.Enseval Putera Megatrading Tbk;Jakarta Timur;internship;https://dealls.com/loker/data-engineer-intern-2~ptenseval-putera-megatrading-tbk
11-Aug-23 05:02;DATA ENGINEER;PT Fastrata Buana (Kapal Api Group);Jakarta Timur;fullTime;https://dealls.com/loker/data-engineer-16~pt-fastrata-buana-kapal-api-group
03-Feb-24 09:56;Senior Data Engineer;Dealls (YC W22);N/A;contract;https://dealls.com/loker/senior-data-engineer-1~dealls-yc-w22
27-Sep-24 10:04;Jr. to Sr. Backend Engineer (6 months contract);Akar Inti Data;Jakarta Selatan;contract;https://dealls.com/loker/jr-to-sr-backend-engineer~akar-inti-data
14-May-24 06:21;Data Engineer;PT Metrodata Electronics Tbk.;Jakarta Barat;fullTime;https://dealls.com/loker/data-engineer-28~pt-metrodata-electronics-tbk
04-Sep-23 08:56;Lead Data Engineer;Cermati.com;Jakarta Pusat;fullTime;https://dealls.com/loker/lead-data-engineer-1~cermaticom
04-Jan-24 03:16;Data Center Engineer (Cisco ACI);PT Sisindokom Lintasbuana;Jakarta;fullTime;https://dealls.com/loker/data-center-engineer-cisco-aci~pt-sisindokom-lintasbuana
27-Sep-24 06:52;Jr / Mid. Frontend Engineer (6 Months Contract);Akar Inti Data;Jakarta Selatan;contract;https://dealls.com/loker/jr-mid-frontend-engineer-6-1~akar-inti-data
02-May-24 09:59;Data Engineer;Sprout Digital Labs;Tangerang Selatan;fullTime;https://dealls.com/loker/data-engineer-25~pt-tunas-digital-labs
08-May-24 07:53;Data Engineer;Torch.id;Bandung;fullTime;https://dealls.com/loker/data-engineer-27~torchid
01-Oct-24 06:39;Data Engineer;Mitramas Infosys Global;Jakarta Pusat;contract;https://dealls.com/loker/data-engineer-38~mitramas-infosys-global
17-Jul-24 02:49;Data Warehouse Engineer;PT Indonesia Fintopia Technology (Easycash);Jakarta Selatan;fullTime;https://dealls.com/loker/data-warehouse-engineer~pt-indonesia-fintipia-technology-easycash
15-Jan-24 03:55;Data Engineer;Bringin Inti Teknologi;Jakarta Selatan;contract;https://dealls.com/loker/data-engineer-21~bringin-inti-teknologi
