listing_date;title;company;location;work_type;link
01-Oct-24 09:40;DevOps Engineer [Bayarind];Sprint Asia;Jakarta Selatan;fullTime;https://dealls.com/loker/devops-engineer-46~sprint-asia
30-Sep-24 05:20;DevOps Engineer;VCGamers;Bekasi;fullTime;https://dealls.com/loker/devops-engineer-45~vcgamers
13-Nov-23 08:40;DevOps Lead;Wings Group Indonesia (Sayap Mas Utama);Jakarta Timur;fullTime;https://dealls.com/loker/devops-lead~wings-group-indonesia-sayap-mas-utama
08-Jul-22 11:32;IT Devops Officer;Bank Sahabat Sampoerna;Jakarta Selatan;fullTime;https://dealls.com/loker/it-devops-officer~bank-sahabat-sampoerna
10-Sep-24 04:52;Devops;PT Idpay Asia Jaya;Jakarta Selatan;contract;https://dealls.com/loker/devops-11~pt-idpay-asia-jaya
07-Aug-24 02:36;DevOps Engineer;PT. Mandiri International Technology;Jakarta Selatan;contract;https://dealls.com/loker/openshift-engineer~pt-mandiri-international-technology
24-Sep-24 09:43;DevOps Engineer;SwiftMind Indonesia;Tangerang Selatan;contract;https://dealls.com/loker/devops-engineer-44~swiftmind-indonesia
11-Oct-23 03:18;DevOps Engineer;Akulaku Indonesia;Jakarta Pusat;fullTime;https://dealls.com/loker/devops-engineer-27~akulaku-indonesia
02-May-24 09:58;Devops;Sprout Digital Labs;Tangerang Selatan;fullTime;https://dealls.com/loker/devops-9~pt-tunas-digital-labs
22-Jul-22 06:12;DevOps Engineer;Nawatech;Tangerang Selatan;fullTime;https://dealls.com/loker/devops-engineer-6~nawatech
30-May-24 01:00;DevOps Engineer;GUE Ecosystem;Tangerang;fullTime;https://dealls.com/loker/devops-engineer-39~gue-ecosystem
29-Sep-22 09:24;Devops;Nawatech;Tangerang Selatan;fullTime;https://dealls.com/loker/devops-1~nawatech
