listing_date;title;company;location;work_type;link
02-Oct-24 04:34;IT Governance Officer;PT Mandala Multifinance, Tbk;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79226411
03-Oct-24 09:34;IT Security Risk;PT Panin Dai-ichi Life;West Jakarta;Full time;https://www.jobstreet.co.id/job/79264855
05-Oct-24 22:15;Senior Internal Audit;PT UangMe Fintek Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79317562
04-Oct-24 03:06;AI System Integrator;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79280534
01-Oct-24 08:08;Junior IT Consultant;PT. Vostra Internasional;Jakarta;Full time;https://www.jobstreet.co.id/job/79206508
04-Oct-24 03:52;Technical Support Manager;Cartrack;Jakarta;Full time;https://www.jobstreet.co.id/job/79283829
04-Oct-24 03:00;IT ERP (Sr. Staff - Supervisor);PT. JAYA BERSAMA  SAPUTRA PERKASA;Tangerang Regency;Contract/Temp;https://www.jobstreet.co.id/job/79280353
02-Oct-24 10:22;IT Staff;PT Acset Indonusa Tbk;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79237564
01-Oct-24 07:20;IT Support - Japanese Speaker;People Connect HR Services;South Jakarta;Full time;https://www.jobstreet.co.id/job/79205458
03-Oct-24 03:21;System Analyst - IT Solution & Services - WFO - Jakarta;PT. PERSOLKELLY Recruitment Indonesia;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79252296
04-Oct-24 09:34;IT Security (Junior-Mid Level);Busana Apparel Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79300617
05-Oct-24 12:00;Enterprise Account Executive (Key Accounts), Infrastructure Solution Group;Lenovo Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79316962
03-Oct-24 08:22;IT Support;Private Advertiser;Medan;Full time;https://www.jobstreet.co.id/job/79262387
01-Oct-24 23:20;Senior IT Operation Support;PT Sinergi Daya Mitra;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79216944
02-Oct-24 06:08;IT Security Senior Engineer;PT Tower Bersama Infrastructure, Tbk;South Jakarta;Full time;https://www.jobstreet.co.id/job/79227299
03-Oct-24 00:46;IT Security Engineer;PT. Wide Technologies Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79247201
02-Oct-24 03:56;Risk Management;PT Jasnita Telekomindo, Tbk;Jakarta;Full time;https://www.jobstreet.co.id/job/79225000
