listing_date;title;company;location;work_type;link
04-Oct-24 03:52;Technical Support Manager;Cartrack;Jakarta;Full time;https://www.jobstreet.co.id/job/79283829
02-Oct-24 08:03;IT Infrastructure Network Security Section Head;PT Smart Multi Finance;Tangerang;Full time;https://www.jobstreet.co.id/job/79233969
04-Oct-24 06:49;Network Engineer Lead;PT SYSTEM TREE TECHNOLOGY;South Jakarta;Full time;https://www.jobstreet.co.id/job/79295607
01-Oct-24 07:16;IT System Admin Section Head;PT Mandiri Tunas Finance;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79205354
04-Oct-24 08:24;Software Development Team Lead;B2BE GSS Sdn Bhd;Surabaya;Full time;https://www.jobstreet.co.id/job/79298340
01-Oct-24 04:04;IT Deployment & Asset Management Section Head;Yayasan Bina Nusantara;Jakarta;Full time;https://www.jobstreet.co.id/job/79198900
02-Oct-24 12:01;Head Of IT;PT. Fidac Inovasi Technology;Jakarta;Full time;https://www.jobstreet.co.id/job/79238465
03-Oct-24 04:16;Cloud Technology Section Head;PT Multipolar Technology Tbk;Banten;Full time;https://www.jobstreet.co.id/job/79254541
05-Oct-24 12:00;Enterprise Account Executive (Key Accounts), Infrastructure Solution Group;Lenovo Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79316962
03-Oct-24 03:56;Presales / Solution Specialist;PT Multipolar Technology Tbk;Banten;Contract/Temp;https://www.jobstreet.co.id/job/79253714
03-Oct-24 03:21;System Analyst - IT Solution & Services - WFO - Jakarta;PT. PERSOLKELLY Recruitment Indonesia;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79252296
02-Oct-24 10:10;IT Supervisor (Berau);PT Sumber Mitra Jaya;East Kalimantan;Full time;https://www.jobstreet.co.id/job/79237404
04-Oct-24 09:32;Funding & Treasury Division Head;Lembaga Pembiayaan Ekspor Indonesia (Indonesia Eximbank);South Jakarta;Full time;https://www.jobstreet.co.id/job/79300486
04-Oct-24 06:58;IT Infrastructure Service Supervisor;PT Amerta Indah Otsuka;Pasuruan;Full time;https://www.jobstreet.co.id/job/79295954
02-Oct-24 06:08;IT Security Senior Engineer;PT Tower Bersama Infrastructure, Tbk;South Jakarta;Full time;https://www.jobstreet.co.id/job/79227299
04-Oct-24 07:13;IT Service Coordinator;PT. Berca Hardayaperkasa;Jakarta;Full time;https://www.jobstreet.co.id/job/79296406
01-Oct-24 08:10;Application Support Manager;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79206539
01-Oct-24 09:54;Senior Enterprise Account Manager;GoPomelo Co., Ltd.;Jakarta;Full time;https://www.jobstreet.co.id/job/79209597
01-Oct-24 07:26;Head of Sales (Cloud);POINTSTAR (PSID);Jakarta;Full time;https://www.jobstreet.co.id/job/79205608
04-Oct-24 10:38;ERP Account Manager;Wilmar Group;Jakarta;Full time;https://www.jobstreet.co.id/job/79302803
03-Oct-24 08:01;Head of IT - Banking;PT Michael Page Internasional Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79261963
01-Oct-24 07:08;IT Programmer - Head Office Jakarta;PT Priamanaya Group;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79205107
30-Sep-24 11:11;Information Security Officer (Manager Level);PT Justika Siar Publika;South Jakarta;Full time;https://www.jobstreet.co.id/job/79183708
04-Oct-24 12:00;IT HELPDESK SUPERVISOR;PT Indomobil Finance Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79306331
03-Oct-24 09:52;IT Manager;Private Advertiser;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79266436
03-Oct-24 16:18;IT Specialist;PT Hangcha Indonesia Forklift;East Jakarta;Full time;https://www.jobstreet.co.id/job/79270525
03-Oct-24 03:27;ICT Operational Supervisor;PT Maybank Indonesia Finance;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79252562
04-Oct-24 02:35;Sr. Associate, Specialist, Digital Channel Management;PT Bank DBS Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79301318
03-Oct-24 08:26;IT Support Specialist;PT DAYA CIPTA TEKNOLOGI SOLUSI;Tangerang;Full time;https://www.jobstreet.co.id/job/79260049
03-Oct-24 05:05;IT Infrastructure Specialist;PT Adibayu Gajah Semakmur;Yogyakarta Special Region;Contract/Temp;https://www.jobstreet.co.id/job/79253514
03-Oct-24 08:20;Staff-RAN, MW & Fiber Ops & Performance North Sumatera;Indosat Ooredoo;Medan;Full time;https://www.jobstreet.co.id/job/79262351
03-Oct-24 08:46;SPV Project (ICT/Telco);Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79262926
03-Oct-24 06:42;IT System Operation Staff;PT Kb Valbury Sekuritas;Jakarta;Full time;https://www.jobstreet.co.id/job/79259861
03-Oct-24 02:38;IT Project Manager;Trans Retail Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79250725
02-Oct-24 07:38;IT SENIOR NETWORK SECURITY;PT Griya Mitra Persada;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79233365
02-Oct-24 09:46;IT Infrastructure & Security Senior Supervisor;PT Etana Biotechnologies Indonesia;East Jakarta;Full time;https://www.jobstreet.co.id/job/79237001
02-Oct-24 12:00;Senior Manager - Enterprise Security - OT Security - JKT;Deloitte;Jakarta;Full time;https://www.jobstreet.co.id/job/79242905
02-Oct-24 03:41;Assistant Manager Operation Technology Project;PT Mitra Transaksi Indonesia;South Jakarta;Casual/Vacation;https://www.jobstreet.co.id/job/79224522
02-Oct-24 08:44;IT Service Desk;PT Prawathiya Karsa Pradipta;Bekasi;Full time;https://www.jobstreet.co.id/job/79234785
02-Oct-24 04:34;IT Governance Officer;PT Mandala Multifinance, Tbk;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79226411
03-Oct-24 02:12;Junior Technical Account Executive;PT Quintal Edutama Solusindo;West Jakarta;Full time;https://www.jobstreet.co.id/job/79249715
01-Oct-24 07:29;Division Head Credit Management (Corporate Loan Analyst);PT Bank Woori Saudara Indonesia 1906, Tbk;South Jakarta;Full time;https://www.jobstreet.co.id/job/79205680
