listing_date;title;company;location;work_type;link
01-Oct-24 23:20;Senior IT Operation Support;PT Sinergi Daya Mitra;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79216944
04-Oct-24 03:52;Technical Support Manager;Cartrack;Jakarta;Full time;https://www.jobstreet.co.id/job/79283829
03-Oct-24 06:42;IT System Operation Staff;PT Kb Valbury Sekuritas;Jakarta;Full time;https://www.jobstreet.co.id/job/79259861
30-Sep-24 10:33;IT Operation;KAI Properti;Jakarta;Full time;https://www.jobstreet.co.id/job/79183393
04-Oct-24 07:13;IT Service Coordinator;PT. Berca Hardayaperkasa;Jakarta;Full time;https://www.jobstreet.co.id/job/79296406
03-Oct-24 16:18;IT Specialist;PT Hangcha Indonesia Forklift;East Jakarta;Full time;https://www.jobstreet.co.id/job/79270525
30-Sep-24 03:50;IT SOC Analyst (Security Operation Center);PT CIMB Niaga Auto Finance;South Tangerang;Full time;https://www.jobstreet.co.id/job/79170243
03-Oct-24 08:01;Head of IT - Banking;PT Michael Page Internasional Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79261963
03-Oct-24 09:52;IT Manager;Private Advertiser;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79266436
05-Oct-24 03:20;IT Network Supervisor;PT Niaga Nusa Abadi;East Jakarta;Full time;https://www.jobstreet.co.id/job/79312202
03-Oct-24 03:21;System Analyst - IT Solution & Services - WFO - Jakarta;PT. PERSOLKELLY Recruitment Indonesia;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79252296
02-Oct-24 02:06;IT engineering;PT Langit Metal Industry;South Jakarta;Full time;https://www.jobstreet.co.id/job/79220929
03-Oct-24 08:22;IT Support;Private Advertiser;Medan;Full time;https://www.jobstreet.co.id/job/79262387
03-Oct-24 04:16;Cloud Technology Section Head;PT Multipolar Technology Tbk;Banten;Full time;https://www.jobstreet.co.id/job/79254541
04-Oct-24 06:58;IT Infrastructure Service Supervisor;PT Amerta Indah Otsuka;Pasuruan;Full time;https://www.jobstreet.co.id/job/79295954
03-Oct-24 10:42;Network Engineer;PT Anabatic Technologies;Tangerang Regency;Full time;https://www.jobstreet.co.id/job/79267040
02-Oct-24 10:10;IT Supervisor (Berau);PT Sumber Mitra Jaya;East Kalimantan;Full time;https://www.jobstreet.co.id/job/79237404
04-Oct-24 04:00;Product Operations Analyst;PT Trinusa Travelindo;Jakarta;Full time;https://www.jobstreet.co.id/job/79303863
01-Oct-24 11:18;Cloud Operation Manager (Project Based);PT Era Awan Digital;Central Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79210296
01-Oct-24 08:10;Application Support Manager;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79206539
30-Sep-24 03:18;L1 - Security Operation Center (SOC);PT Metrocom Global Solusi;Jakarta;Full time;https://www.jobstreet.co.id/job/79168592
30-Sep-24 07:40;IT Security Engineer L2 (Infoblox);PT Packet Systems Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79177772
01-Oct-24 03:41;IT Security (SOC L1 & Splunk Certified);PT Metrocom Global Solusi;Jakarta;Full time;https://www.jobstreet.co.id/job/79198123
04-Oct-24 03:56;MIS & Data Management Executive;Lembaga Pembiayaan Ekspor Indonesia (Indonesia Eximbank);South Jakarta;Full time;https://www.jobstreet.co.id/job/79284290
30-Sep-24 03:45;L2 - Security Operation Center (SOC);PT Metrocom Global Solusi;Jakarta;Full time;https://www.jobstreet.co.id/job/79170120
02-Oct-24 08:08;Sharia Investment Operation;PT Asuransi Allianz Life Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79234072
