listing_date;title;company;location;work_type;link
03-Oct-24 12:16;Project Manager (Payment Tech);EURONET TECHNOLOGIES INDONESIA;Jakarta;Full time;https://www.jobstreet.co.id/job/79267766
03-Oct-24 02:38;IT Project Manager;Trans Retail Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79250725
01-Oct-24 04:02;IT Project Manager;PT Peoplyee Tech Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79198833
03-Oct-24 14:42;Software Project Manager;PT Inovasi Kreatif Digital;Jakarta;Full time;https://www.jobstreet.co.id/job/79268776
04-Oct-24 08:24;Software Development Team Lead;B2BE GSS Sdn Bhd;Surabaya;Full time;https://www.jobstreet.co.id/job/79298340
01-Oct-24 08:10;Application Support Manager;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79206539
03-Oct-24 09:52;IT Manager;Private Advertiser;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79266436
03-Oct-24 04:16;Cloud Technology Section Head;PT Multipolar Technology Tbk;Banten;Full time;https://www.jobstreet.co.id/job/79254541
01-Oct-24 06:54;Project Manager - IT Consulting (A-109666);RGF HR Agent Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79204744
04-Oct-24 03:52;Technical Support Manager;Cartrack;Jakarta;Full time;https://www.jobstreet.co.id/job/79283829
02-Oct-24 12:01;Head Of IT;PT. Fidac Inovasi Technology;Jakarta;Full time;https://www.jobstreet.co.id/job/79238465
01-Oct-24 12:00;IT Project Manager;PT. Metrodata Electronics, Tbk;West Jakarta;Full time;https://www.jobstreet.co.id/job/79214699
04-Oct-24 03:00;IT ERP (Sr. Staff - Supervisor);PT. JAYA BERSAMA  SAPUTRA PERKASA;Tangerang Regency;Contract/Temp;https://www.jobstreet.co.id/job/79280353
01-Oct-24 04:02;IT Project Management Support Officer;Yayasan Bina Nusantara;Jakarta;Full time;https://www.jobstreet.co.id/job/79198849
02-Oct-24 03:41;Assistant Manager Operation Technology Project;PT Mitra Transaksi Indonesia;South Jakarta;Casual/Vacation;https://www.jobstreet.co.id/job/79224522
03-Oct-24 08:46;SPV Project (ICT/Telco);Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79262926
01-Oct-24 11:18;Cloud Operation Manager (Project Based);PT Era Awan Digital;Central Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79210296
03-Oct-24 03:21;System Analyst - IT Solution & Services - WFO - Jakarta;PT. PERSOLKELLY Recruitment Indonesia;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79252296
03-Oct-24 03:56;Presales / Solution Specialist;PT Multipolar Technology Tbk;Banten;Contract/Temp;https://www.jobstreet.co.id/job/79253714
04-Oct-24 07:13;IT Service Coordinator;PT. Berca Hardayaperkasa;Jakarta;Full time;https://www.jobstreet.co.id/job/79296406
03-Oct-24 08:01;Head of IT - Banking;PT Michael Page Internasional Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79261963
30-Sep-24 07:14;Program Manager (Digital Automation);ASIA PULP AND PAPER;Tangerang;Full time;https://www.jobstreet.co.id/job/79177036
02-Oct-24 10:10;IT Supervisor (Berau);PT Sumber Mitra Jaya;East Kalimantan;Full time;https://www.jobstreet.co.id/job/79237404
02-Oct-24 04:34;IT Governance Officer;PT Mandala Multifinance, Tbk;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79226411
01-Oct-24 04:09;QUALITY CONTROL MANAGER Data Center (Construstion Project);PT YPTT Solutions Indonesia;Bekasi Regency;Contract/Temp;https://www.jobstreet.co.id/job/79199047
03-Oct-24 03:27;ICT Operational Supervisor;PT Maybank Indonesia Finance;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79252562
01-Oct-24 09:54;Senior Enterprise Account Manager;GoPomelo Co., Ltd.;Jakarta;Full time;https://www.jobstreet.co.id/job/79209597
02-Oct-24 02:01;IT PM Business Analyst;PT Insura Media Solusi (Jakarta);Jakarta;Full time;https://www.jobstreet.co.id/job/79220766
01-Oct-24 07:26;Head of Sales (Cloud);POINTSTAR (PSID);Jakarta;Full time;https://www.jobstreet.co.id/job/79205608
30-Sep-24 11:00;Site Reliability Engineer;PT Justika Siar Publika;South Jakarta;Full time;https://www.jobstreet.co.id/job/79183643
30-Sep-24 11:11;Information Security Officer (Manager Level);PT Justika Siar Publika;South Jakarta;Full time;https://www.jobstreet.co.id/job/79183708
01-Oct-24 04:01;Associate Software Engineering Specialist;Yayasan Bina Nusantara;West Jakarta;Full time;https://www.jobstreet.co.id/job/79198808
30-Sep-24 04:11;Associate Technical Lead Specialist;Yayasan Bina Nusantara;West Jakarta;Full time;https://www.jobstreet.co.id/job/79170986
04-Oct-24 10:38;ERP Account Manager;Wilmar Group;Jakarta;Full time;https://www.jobstreet.co.id/job/79302803
04-Oct-24 04:47;Junior Business Analyst;PT Perangkat Lunak Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79290310
30-Sep-24 06:19;Principal Product Strategist;PT Solusi Transportasi Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79181628
04-Oct-24 07:57;SYSTEM ANALYST;PT Kinarya Alihdaya Mandiri;West Jakarta;Full time;https://www.jobstreet.co.id/job/79297655
04-Oct-24 04:00;Product Operations Analyst;PT Trinusa Travelindo;Jakarta;Full time;https://www.jobstreet.co.id/job/79303863
04-Oct-24 03:06;AI System Integrator;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79280534
04-Oct-24 09:11;IT System Requirement Analyst (JS - IT SRA);OTO Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79299904
04-Oct-24 08:55;Digital Strategic Specialist;PT CIMB Niaga Auto Finance;South Tangerang;Full time;https://www.jobstreet.co.id/job/79299135
04-Oct-24 06:58;IT Infrastructure Service Supervisor;PT Amerta Indah Otsuka;Pasuruan;Full time;https://www.jobstreet.co.id/job/79295954
