listing_date;title;company;location;work_type;link
04-Oct-24 03:52;Technical Support Manager;Cartrack;Jakarta;Full time;https://www.jobstreet.co.id/job/79283829
04-Oct-24 06:49;Network Engineer Lead;PT SYSTEM TREE TECHNOLOGY;South Jakarta;Full time;https://www.jobstreet.co.id/job/79295607
04-Oct-24 08:24;Software Development Team Lead;B2BE GSS Sdn Bhd;Surabaya;Full time;https://www.jobstreet.co.id/job/79298340
04-Oct-24 12:00;IT HELPDESK SUPERVISOR;PT Indomobil Finance Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79306331
05-Oct-24 12:00;Enterprise Account Executive (Key Accounts), Infrastructure Solution Group;Lenovo Indonesia;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79316962
04-Oct-24 07:13;IT Service Coordinator;PT. Berca Hardayaperkasa;Jakarta;Full time;https://www.jobstreet.co.id/job/79296406
03-Oct-24 04:16;Cloud Technology Section Head;PT Multipolar Technology Tbk;Banten;Full time;https://www.jobstreet.co.id/job/79254541
03-Oct-24 03:56;Presales / Solution Specialist;PT Multipolar Technology Tbk;Banten;Contract/Temp;https://www.jobstreet.co.id/job/79253714
04-Oct-24 06:58;IT Infrastructure Service Supervisor;PT Amerta Indah Otsuka;Pasuruan;Full time;https://www.jobstreet.co.id/job/79295954
03-Oct-24 03:21;System Analyst - IT Solution & Services - WFO - Jakarta;PT. PERSOLKELLY Recruitment Indonesia;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79252296
04-Oct-24 10:38;ERP Account Manager;Wilmar Group;Jakarta;Full time;https://www.jobstreet.co.id/job/79302803
02-Oct-24 10:10;IT Supervisor (Berau);PT Sumber Mitra Jaya;East Kalimantan;Full time;https://www.jobstreet.co.id/job/79237404
02-Oct-24 06:08;IT Security Senior Engineer;PT Tower Bersama Infrastructure, Tbk;South Jakarta;Full time;https://www.jobstreet.co.id/job/79227299
01-Oct-24 09:54;Senior Enterprise Account Manager;GoPomelo Co., Ltd.;Jakarta;Full time;https://www.jobstreet.co.id/job/79209597
01-Oct-24 08:10;Application Support Manager;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79206539
03-Oct-24 08:01;Head of IT - Banking;PT Michael Page Internasional Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79261963
01-Oct-24 07:26;Head of Sales (Cloud);POINTSTAR (PSID);Jakarta;Full time;https://www.jobstreet.co.id/job/79205608
04-Oct-24 03:06;AI System Integrator;Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79280534
03-Oct-24 09:52;IT Manager;Private Advertiser;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79266436
03-Oct-24 03:27;ICT Operational Supervisor;PT Maybank Indonesia Finance;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79252562
30-Sep-24 07:40;IT Security Engineer L2 (Infoblox);PT Packet Systems Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79177772
03-Oct-24 16:18;IT Specialist;PT Hangcha Indonesia Forklift;East Jakarta;Full time;https://www.jobstreet.co.id/job/79270525
30-Sep-24 11:11;Information Security Officer (Manager Level);PT Justika Siar Publika;South Jakarta;Full time;https://www.jobstreet.co.id/job/79183708
30-Sep-24 10:24;Technician Spoke IT;Private Advertiser;Ogan Komering Ilir;Full time;https://www.jobstreet.co.id/job/79183289
03-Oct-24 08:20;Staff-RAN, MW & Fiber Ops & Performance North Sumatera;Indosat Ooredoo;Medan;Full time;https://www.jobstreet.co.id/job/79262351
03-Oct-24 08:46;SPV Project (ICT/Telco);Private Advertiser;Jakarta;Full time;https://www.jobstreet.co.id/job/79262926
03-Oct-24 06:42;IT System Operation Staff;PT Kb Valbury Sekuritas;Jakarta;Full time;https://www.jobstreet.co.id/job/79259861
03-Oct-24 05:05;IT Infrastructure Specialist;PT Adibayu Gajah Semakmur;Yogyakarta Special Region;Contract/Temp;https://www.jobstreet.co.id/job/79253514
03-Oct-24 08:26;IT Support Specialist;PT DAYA CIPTA TEKNOLOGI SOLUSI;Tangerang;Full time;https://www.jobstreet.co.id/job/79260049
04-Oct-24 02:35;Sr. Associate, Specialist, Digital Channel Management;PT Bank DBS Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79301318
02-Oct-24 08:03;IT Infrastructure Network Security Section Head;PT Smart Multi Finance;Tangerang;Full time;https://www.jobstreet.co.id/job/79233969
03-Oct-24 02:38;IT Project Manager;Trans Retail Group;South Jakarta;Full time;https://www.jobstreet.co.id/job/79250725
02-Oct-24 12:01;Head Of IT;PT. Fidac Inovasi Technology;Jakarta;Full time;https://www.jobstreet.co.id/job/79238465
02-Oct-24 07:38;IT SENIOR NETWORK SECURITY;PT Griya Mitra Persada;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79233365
01-Oct-24 04:04;IT Deployment & Asset Management Section Head;Yayasan Bina Nusantara;Jakarta;Full time;https://www.jobstreet.co.id/job/79198900
02-Oct-24 09:46;IT Infrastructure & Security Senior Supervisor;PT Etana Biotechnologies Indonesia;East Jakarta;Full time;https://www.jobstreet.co.id/job/79237001
02-Oct-24 12:00;Senior Manager - Enterprise Security - OT Security - JKT;Deloitte;Jakarta;Full time;https://www.jobstreet.co.id/job/79242905
02-Oct-24 03:41;Assistant Manager Operation Technology Project;PT Mitra Transaksi Indonesia;South Jakarta;Casual/Vacation;https://www.jobstreet.co.id/job/79224522
03-Oct-24 02:12;Junior Technical Account Executive;PT Quintal Edutama Solusindo;West Jakarta;Full time;https://www.jobstreet.co.id/job/79249715
02-Oct-24 10:22;IT Staff;PT Acset Indonusa Tbk;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79237564
02-Oct-24 08:44;IT Service Desk;PT Prawathiya Karsa Pradipta;Bekasi;Full time;https://www.jobstreet.co.id/job/79234785
02-Oct-24 07:39;IT System Support (JS - IT SS);OTO Group;Jakarta;Full time;https://www.jobstreet.co.id/job/79233401
02-Oct-24 06:10;Principal Special Projects/Product - Cryptocurrency;PT Michael Page Internasional Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79229052
02-Oct-24 04:34;IT Governance Officer;PT Mandala Multifinance, Tbk;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79226411
01-Oct-24 07:16;IT System Admin Section Head;PT Mandiri Tunas Finance;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79205354
01-Oct-24 04:02;IT Project Manager;PT Peoplyee Tech Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79198833
01-Oct-24 03:56;IT Customer Service Officer;British School Jakarta;South Tangerang;Full time;https://www.jobstreet.co.id/job/79198646
01-Oct-24 06:54;Project Manager - IT Consulting (A-109666);RGF HR Agent Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79204744
01-Oct-24 11:18;Cloud Operation Manager (Project Based);PT Era Awan Digital;Central Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79210296
01-Oct-24 07:33;IT Technical Consultant (Application Support);PT Buana Finance Tbk;Jakarta;Full time;https://www.jobstreet.co.id/job/79205784
01-Oct-24 12:00;IT Project Manager;PT. Metrodata Electronics, Tbk;West Jakarta;Full time;https://www.jobstreet.co.id/job/79214699
02-Oct-24 02:01;IT PM Business Analyst;PT Insura Media Solusi (Jakarta);Jakarta;Full time;https://www.jobstreet.co.id/job/79220766
01-Oct-24 07:20;IT Support - Japanese Speaker;People Connect HR Services;South Jakarta;Full time;https://www.jobstreet.co.id/job/79205458
01-Oct-24 07:29;Division Head Credit Management (Corporate Loan Analyst);PT Bank Woori Saudara Indonesia 1906, Tbk;South Jakarta;Full time;https://www.jobstreet.co.id/job/79205680
01-Oct-24 07:35;IT Helpdesk / Support;PT Buana Finance Tbk;South Jakarta;Full time;https://www.jobstreet.co.id/job/79205829
01-Oct-24 04:02;IT Project Management Support Officer;Yayasan Bina Nusantara;Jakarta;Full time;https://www.jobstreet.co.id/job/79198849
01-Oct-24 23:20;Senior IT Operation Support;PT Sinergi Daya Mitra;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79216944
01-Oct-24 07:52;Settlement & Dispute Management Dept Head;PT. PERSOLKELLY Recruitment Indonesia;South Tangerang;Full time;https://www.jobstreet.co.id/job/79206187
01-Oct-24 08:08;Junior IT Consultant;PT. Vostra Internasional;Jakarta;Full time;https://www.jobstreet.co.id/job/79206508
01-Oct-24 07:46;Transaction Monitoring Dept Head;PT. PERSOLKELLY Recruitment Indonesia;South Tangerang;Full time;https://www.jobstreet.co.id/job/79206076
02-Oct-24 02:39;System Analyst;PT Ako Media Asia;West Jakarta;Full time;https://www.jobstreet.co.id/job/79222044
01-Oct-24 04:02;IT Network and Data Center Administrator;Yayasan Tunas Manunggal;Tangerang;Full time;https://www.jobstreet.co.id/job/79198821
01-Oct-24 07:59;IT Support, HSE Officer, Admin Warehouse dan Resepsionis;OSCT Indonesia;Cikarang;Contract/Temp;https://www.jobstreet.co.id/job/79206318
01-Oct-24 03:41;IT Security (SOC L1 & Splunk Certified);PT Metrocom Global Solusi;Jakarta;Full time;https://www.jobstreet.co.id/job/79198123
30-Sep-24 08:55;Cyber Security Solution Head;PT Visionet Data Internasional;Tangerang;Full time;https://www.jobstreet.co.id/job/79179662
30-Sep-24 08:58;IT Japanese Interpreter;PT Nusantara Compnet Integrator;West Jakarta;Full time;https://www.jobstreet.co.id/job/78648997
30-Sep-24 18:22;IT Supervisor;PT. Dassa Cipta Daya;Kulon Progo;Full time;https://www.jobstreet.co.id/job/79187475
30-Sep-24 04:27;IT Operational (Aceh);WINGS Group;Banda Aceh;Full time;https://www.jobstreet.co.id/job/79171406
01-Oct-24 02:33;Network Operations Head;PT Visionet Data Internasional;Tangerang;Full time;https://www.jobstreet.co.id/job/79194893
30-Sep-24 04:11;Associate Technical Lead Specialist;Yayasan Bina Nusantara;West Jakarta;Full time;https://www.jobstreet.co.id/job/79170986
30-Sep-24 08:01;Head of Operation;PT Persada Inti Utama (Jakarta);Bekasi;Full time;https://www.jobstreet.co.id/job/79178346
30-Sep-24 08:58;IT staff;PT Peoplyee Tech Indonesia;Surabaya;Full time;https://www.jobstreet.co.id/job/79179819
01-Oct-24 02:06;IT Infrastructure Engineer - Cilegon - IT Consulting (A-109844);RGF HR Agent Indonesia;Cilegon;Full time;https://www.jobstreet.co.id/job/79194156
30-Sep-24 10:42;IT Technician;PT Bizlink Technology Indonesia;Batam;Full time;https://www.jobstreet.co.id/job/79183484
30-Sep-24 03:50;IT SOC Analyst (Security Operation Center);PT CIMB Niaga Auto Finance;South Tangerang;Full time;https://www.jobstreet.co.id/job/79170243
01-Oct-24 01:52;IT Support Staff - Trading (A-111336);RGF HR Agent Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79193741
30-Sep-24 09:47;IT Division Team;PT Gudang Kripto Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79182729
01-Oct-24 02:51;Area Bancassurance Manager - Magelang;PT AIA FINANCIAL;Magelang;Contract/Temp;https://www.jobstreet.co.id/job/79195415
29-Sep-24 01:53;Software/Cybersecurity Development;Private Advertiser;East Jakarta;Full time;https://www.jobstreet.co.id/job/79156723
30-Sep-24 06:19;Principal Product Strategist;PT Solusi Transportasi Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79181628
04-Oct-24 07:30;IT Onsite Support Technican – Sankt Ingbert (m/f/d);DXC Technology;East Nusa Tenggara;Full time;https://www.jobstreet.co.id/job/79308639
04-Oct-24 08:14;Project Manager - IT;Shopee Internasional Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79304011
04-Oct-24 11:17;IT Data Centre Operations;PT NTT Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79306326
04-Oct-24 08:00;Analyst, Compliance Department;The Bank of Tokyo Mitsubishi-UFJ;Jakarta;Full time;https://www.jobstreet.co.id/job/79308378
04-Oct-24 14:26;IT Advisory Intern;Grantt Thornton Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79308917
03-Oct-24 09:54;Service Delivery Manager;PT NTT Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79268449
03-Oct-24 18:40;Solutions Consultant - FSI, Indonesia;Palo Alto Networks;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79273305
03-Oct-24 03:29;Loyalty and Promotions Product Manager;PT Telkomsel Ekosistem Digital;South Jakarta;Full time;https://www.jobstreet.co.id/job/79271427
