listing_date;title;company;location;work_type;link
16-Oct-24 06:11;Quality Assurance (QA) Tester;AmIT Global Solutions;Yogyakarta;contract;https://dealls.com/loker/quality-assurance-qa-tester-14~amit-global-solutions
10-Oct-24 10:41;Quality Assurance (Fashion);Delamibrands;Tangerang;fullTime;https://dealls.com/loker/quality-assurance-fashion~delamibrands
21-Oct-24 08:40;Lead IT Quality Assurance;PT Mega Central Finance (MCF);Jakarta Barat;fullTime;https://dealls.com/loker/lead-it-quality-assurance~pt-mega-central-finance-mcf
18-Oct-24 07:25;Quality Assurance Fresh Hub Senior Supervisor;ASTRO;Jakarta Selatan;fullTime;https://dealls.com/loker/quality-assurance-fresh-hub-senior~astro
01-Aug-24 07:41;Software Quality Assurance (Manual);PT Bank Digital BCA (BCA Digital);Jakarta Selatan;fullTime;https://dealls.com/loker/software-quality-assurance-5~pt-bank-digital-bca-bca
10-Sep-24 02:18;Software Quality Assurance;PT Gree Electric Appliances Indonesia;Jakarta Utara;fullTime;https://dealls.com/loker/software-quality-assurance-6~pt-gree-electric-appliances-indonesia
17-Jul-24 07:58;IT Quality Assurance Analyst;PT TOYOTA ASTRA FINANCIAL SERVICES;Jakarta;fullTime;https://dealls.com/loker/it-quality-assurance-analyst~pt-toyota-astra-financial-services
08-Jul-22 11:38;IT Lead Quality Assurance;Bank Sahabat Sampoerna;Jakarta Selatan;fullTime;https://dealls.com/loker/it-lead-quality-assurance~bank-sahabat-sampoerna
02-Oct-24 07:55;(Automotive) Quality Assurance Analyst;Asuransi Astra;Jakarta Selatan;fullTime;https://dealls.com/loker/automotive-quality-assurance-analyst~asuransi-astra-1
18-Oct-24 06:53;Quality Assurance Intern (GVN);Kalbe Nutritionals (PT Sanghiang Perkasa);Karawang Regency;internship;https://dealls.com/loker/quality-assurance-intern-gvn~kalbe-nutritionals-pt-sanghiang-perkasa
22-Oct-24 06:44;Quality Assurance (QA) Engineer Internship;VCGamers;Bekasi;internship;https://dealls.com/loker/quality-assurance-qa-engineer-internship~vcgamers
25-Apr-24 07:54;Quality Assurance Engineer;Akulaku Indonesia;Jakarta Pusat;fullTime;https://dealls.com/loker/quality-assurance-engineer-1~akulaku-indonesia
10-Jul-24 08:45;Quality Assurance Automation;PT. Mandiri International Technology;Jakarta Selatan;contract;https://dealls.com/loker/quality-assurance-automation-1~pt-mandiri-international-technology
16-Jan-24 07:52;Quality Assurance (Tester Automation);PT Metrodata Electronics Tbk.;Jakarta Barat;contract;https://dealls.com/loker/quality-assurance-qa-tester-7~pt-metrodata-electronics-tbk
07-Aug-24 06:49;Quality Assurance Supervisor;Kalbe Nutritionals (PT Sanghiang Perkasa);Karawang Regency;fullTime;https://dealls.com/loker/quality-assurance-supervisor~kalbe-nutritionals-pt-sanghiang-perkasa
10-Jul-24 08:47;Quality Assurance (QA) Tester;PT. Mandiri International Technology;Jakarta Selatan;contract;https://dealls.com/loker/quality-assurance-qa-tester-11~pt-mandiri-international-technology
18-Mar-24 07:54;Quality Assurance (QA) Tester;Digisign.id;Jakarta Pusat;fullTime;https://dealls.com/loker/quality-assurance-qa-tester-8~digisignid
02-Oct-24 02:57;Software Quality Assurance;Mitramas Infosys Global;Jakarta Selatan;contract;https://dealls.com/loker/software-quality-assurance-7~mitramas-infosys-global
