listing_date;title;company;location;work_type;link
03-Oct-24 03:27;Software Quality Assurance (WFO BANDUNG);PT Infokes Indonesia (Bandung);Bandung;Full time;https://www.jobstreet.co.id/job/79252656
02-Oct-24 02:15;QA Tester;PT Triputra Investindo Arya (Triputra Group);South Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79221243
01-Oct-24 08:10;Quality Assurance;PT Kobeks;Jepara Regency;Full time;https://www.jobstreet.co.id/job/79206541
30-Sep-24 12:00;Quality Assurance Assc;PT. Metrodata Electronics, Tbk;West Jakarta;Full time;https://www.jobstreet.co.id/job/79187628
04-Oct-24 08:24;Software Development Team Lead;B2BE GSS Sdn Bhd;Surabaya;Full time;https://www.jobstreet.co.id/job/79298340
04-Oct-24 09:20;Full-Stack Software Engineer (Mid. Level);TRAVLR Indonesia;Bali;Contract/Temp;https://www.jobstreet.co.id/job/79300110
04-Oct-24 09:42;Full-Stack Software Engineer (Senior Level);TRAVLR Indonesia;Bali;Contract/Temp;https://www.jobstreet.co.id/job/79300937
02-Oct-24 08:34;SOFTWARE TESTER AUTOMATION;PT Sharing Vision Indonesia;Jakarta;Full time;https://www.jobstreet.co.id/job/79234601
04-Oct-24 03:52;e-Channel;PT Bank of India Indonesia Tbk.;Central Jakarta;Full time;https://www.jobstreet.co.id/job/79283679
03-Oct-24 04:33;IT QA Engineer;Steradian Data Optima;Jakarta;Full time;https://www.jobstreet.co.id/job/79254996
30-Sep-24 06:45;Software Quality Assurance;PT Esha Parama Teknologi;Jakarta;Full time;https://www.jobstreet.co.id/job/79176138
30-Sep-24 02:26;Quality Assurance (Automation);PT Adi Data Informatika;Jakarta;Contract/Temp;https://www.jobstreet.co.id/job/79166713
03-Oct-24 12:16;Project Manager (Payment Tech);EURONET TECHNOLOGIES INDONESIA;Jakarta;Full time;https://www.jobstreet.co.id/job/79267766
05-Oct-24 22:15;Senior Internal Audit;PT UangMe Fintek Indonesia;South Jakarta;Full time;https://www.jobstreet.co.id/job/79317562
02-Oct-24 08:18;SDET;PT Inovasi Daya Solusi;South Jakarta;Full time;https://www.jobstreet.co.id/job/79234284
02-Oct-24 03:56;Risk Management;PT Jasnita Telekomindo, Tbk;Jakarta;Full time;https://www.jobstreet.co.id/job/79225000
